6
5 1 17 17 17 1 
(0.624469,-0.905458)
(-0.543234,0.682702)
(0,0)
(0.00502599,0.000972578)
(0,0)
(1.449,0.172441)
(-0.358488,0.231477)
(0,0)
(0.00469799,0.00756923)
(0,0)
(2.27353,1.25034)
(-0.173741,-0.219747)
(0,0)
(0.00437,0.0141659)
(0,0)
(0.211948,2.50177)
(-0.0462029,-0.132348)
(0,0)
(-0.00409541,0.0132616)
(0,0)
(-1.84964,3.7532)
(0.0813353,-0.0449477)
(0,0)
(-0.0125608,0.0123574)
(0,0)
(-3.1384,0.802578)
(0.045644,-0.00567944)
(0,0)
(-0.0121075,0.00995516)
(0,0)
(-4.42716,-2.14805)
(0.00995272,0.0335889)
(0,0)
(-0.0116542,0.00755291)
(0,0)
(-1.11171,-3.28358)
(-0.00301715,0.0159031)
(0,0)
(-0.0189643,0.00385257)
(0,0)
(2.20373,-4.41912)
(-0.015987,-0.00178271)
(0,0)
(-0.0262744,0.000152238)
(0,0)
(3.13363,-1.15463)
(-0.00433092,-0.00197816)
(0,0)
(-0.0240027,-0.0240273)
(0,0)
(4.06352,2.10985)
(0.00732519,-0.00217361)
(0,0)
(-0.0217309,-0.0482068)
(0,0)
(1.14507,2.626)
(-0.00121749,0.00241988)
(0,0)
(0.0422528,-0.0656849)
(0,0)
(-1.77338,3.14214)
(-0.00976016,0.00701337)
(0,0)
(0.106237,-0.0831629)
(0,0)
(-1.73009,1.00227)
(-0.0062929,-0.00046552)
(0,0)
(0.223186,0.0923271)
(0,0)
(-1.68681,-1.1376)
(-0.00282565,-0.00794441)
(0,0)
(0.340136,0.267817)
(0,0)
(-0.552274,-0.661166)
(-0.00392582,-0.00445849)
(0,0)
(0.160311,0.919591)
(0,0)
(0.582257,-0.18473)
(-0.00502599,-0.000972578)
(0,0)
(-0.0195129,1.57136)
(0,0)
(0.356332,-0.671415)
(-0.328336,0.491028)
(0,0)
(0.00313117,0.000465256)
(0,0)
(0.992347,-0.00427554)
(-0.224799,0.176408)
(0,0)
(0.00315568,0.00433907)
(0,0)
(1.62836,0.662863)
(-0.121262,-0.138213)
(0,0)
(0.00318018,0.00821289)
(0,0)
(0.341753,1.66593)
(-0.0344627,-0.0848067)
