6
5 1 17 17 17 1 
(4.36816,2.9211)
(-3.27924,-2.41756)
(0,0)
(-0.00587003,0.0233525)
(0,0)
(-0.690974,6.92829)
(-1.14109,-1.63372)
(0,0)
(-0.0369584,0.020405)
(0,0)
(-5.7501,10.9355)
(0.997064,-0.849878)
(0,0)
(-0.068047,0.0174566)
(0,0)
(-11.8784,1.29691)
(0.610685,-0.238137)
(0,0)
(-0.0628853,-0.0222189)
(0,0)
(-18.0067,-8.34166)
(0.224309,0.373604)
(0,0)
(-0.0577233,-0.0618949)
(0,0)
(-4.24438,-14.7667)
(0.0338641,0.212605)
(0,0)
(-0.0471882,-0.0602983)
(0,0)
(9.51791,-21.1918)
(-0.156581,0.0516057)
(0,0)
(-0.0366532,-0.0587021)
(0,0)
(15.3158,-5.77555)
(-0.0748669,-0.0116995)
(0,0)
(-0.017592,-0.0937364)
(0,0)
(21.1137,9.64069)
(0.00684667,-0.075005)
(0,0)
(0.00146884,-0.128771)
(0,0)
(5.97037,14.5166)
(0.0086524,-0.0198335)
(0,0)
(0.118026,-0.117119)
(0,0)
(-9.17295,19.3926)
(0.0104583,0.0353374)
(0,0)
(0.234583,-0.105466)
(0,0)
(-12.0858,5.82937)
(-0.0114587,-0.00469746)
(0,0)
(0.319677,0.202109)
(0,0)
(-14.9987,-7.73384)
(-0.0333755,-0.0447326)
(0,0)
(0.404771,0.509684)
(0,0)
(-4.99097,-7.90361)
(0.00103945,-0.0289594)
(0,0)
(-0.431663,1.07695)
(0,0)
(5.0167,-8.07339)
(0.0354538,-0.0131862)
(0,0)
(-1.2681,1.64422)
(0,0)
(2.98936,-2.69479)
(0.0206617,-0.0182696)
(0,0)
(-4.39097,0.816434)
(0,0)
(0.962035,2.68381)
(0.00587003,-0.0233525)
(0,0)
(-7.51384,-0.0113508)
(0,0)
(2.9592,1.73696)
(-2.17502,-1.46581)
(0,0)
(-0.00312227,0.0145603)
(0,0)
(-0.151676,4.34833)
(-0.776608,-1.01262)
(0,0)
(-0.0211494,0.013468)
(0,0)
(-3.26248,6.95969)
(0.621879,-0.559446)
(0,0)
(-0.0391791,0.012371)
(0,0)
(-7.19198,1.17122)
(0.385511,-0.161482)
(0,0)
(-0.0369364,-0.0100999)
(0,0)
(-11.1215,-4.61726)
(0.149146,0.236485)
(0,0)
(-0.0346912,-0.0325759)
(0,0)
(-2.92672,-8.87453)
(0.0250239,0.135892)
(0,0)
(-0.0291775,-0.0332483)
(0,0)
(5.26804,-13.1318)
(-0.0990994,0.0353059)
(0,0)
(-0.0236636,-0.0339285)
(0,0)
(9.2184,-3.88408)
(-0.0483015,-0.0057758)
(0,0)
(-0.0131639,-0.0574055)
(0,0)
(13.1688,5.36365)
(0.00249029,-0.0468554)
(0,0)
(-0.00267034,-0.080885)
(0,0)
(4.03162,8.69735)
(0.00510875,-0.0132129)
(0,0)
(0.0728315,-0.0764874)
(0,0)
(-5.10554,12.0311)
