6
5 1 17 17 17 1 
(-2.23538,6.04044)
(1.966,-4.57685)
(0,0)
(-0.02962,-0.000231157)
(0,0)
(-8.45361,1.1507)
(1.62735,-1.81285)
(0,0)
(-0.0350749,-0.0382693)
(0,0)
(-14.6718,-3.73905)
(1.28871,0.951149)
(0,0)
(-0.0405302,-0.0763085)
(0,0)
(-4.92277,-13.7839)
(0.45303,0.66085)
(0,0)
(0.00842857,-0.0815146)
(0,0)
(4.82631,-23.8288)
(-0.382645,0.370551)
(0,0)
(0.0573876,-0.0867211)
(0,0)
(16.3855,-9.24296)
(-0.243652,0.0992109)
(0,0)
(0.0583668,-0.0736942)
(0,0)
(27.9447,5.34292)
(-0.104659,-0.172129)
(0,0)
(0.0593459,-0.0606679)
(0,0)
(11.205,16.6065)
(-0.0067457,-0.0922764)
(0,0)
(0.106698,-0.0480746)
(0,0)
(-5.53473,27.87)
(0.0911668,-0.0124238)
(0,0)
(0.154049,-0.0354812)
(0,0)
(-15.6035,11.1931)
(0.0259474,0.0048996)
(0,0)
(0.173629,0.106937)
(0,0)
(-25.6723,-5.48385)
(-0.0392719,0.0222225)
(0,0)
(0.19321,0.249356)
(0,0)
(-10.3281,-12.7538)
(0.00232722,-0.0148889)
(0,0)
(-0.149173,0.438967)
(0,0)
(5.01614,-20.0237)
(0.0439266,-0.0520005)
(0,0)
(-0.491555,0.628579)
(0,0)
(8.01402,-8.15083)
(0.0346626,-0.00677481)
(0,0)
(-1.40709,-0.206465)
(0,0)
(11.0119,3.72207)
(0.0253981,0.0384508)
(0,0)
(-2.32263,-1.04151)
(0,0)
(4.04192,2.80755)
(0.0275089,0.0193407)
(0,0)
(-2.22771,-5.00152)
(0,0)
(-2.92804,1.89304)
(0.02962,0.000231157)
(0,0)
(-2.13277,-8.96154)
(0,0)
(-1.22664,4.0218)
(1.13982,-2.99739)
(0,0)
(-0.0180354,0.000602578)
(0,0)
(-5.225,1.05789)
(0.989165,-1.20616)
(0,0)
(-0.0219546,-0.0211738)
(0,0)
(-9.22328,-1.90604)
(0.838592,0.585065)
(0,0)
(-0.0258765,-0.0429549)
(0,0)
(-3.44008,-8.23585)
(0.299195,0.414118)
(0,0)
(0.00182257,-0.0469826)
(0,0)
(2.34312,-14.5657)
(-0.240199,0.243174)
(0,0)
(0.0295241,-0.0510152)
(0,0)
(9.74045,-6.00229)
(-0.154842,0.0675226)
(0,0)
(0.0313975,-0.045057)
(0,0)
(17.1378,2.56108)
