6
5 1 17 17 17 1 
(-7.42048e-05,-3.87724e-05)
(-5.71628e-06,5.29736e-06)
(0,0)
(3.11619e-05,1.12515e-05)
(0,0)
(-8.99529e-06,-4.06118e-05)
(-8.04504e-06,3.18679e-06)
(0,0)
(3.06944e-05,1.54877e-05)
(0,0)
(5.72656e-05,-4.36789e-05)
(-1.05837e-05,1.14007e-06)
(0,0)
(2.91248e-05,2.14278e-05)
(0,0)
(1.6258e-05,-4.23424e-05)
(-3.20144e-06,3.67259e-06)
(0,0)
(3.94545e-05,2.15101e-06)
(0,0)
(-2.44327e-05,-4.11318e-05)
(2.89798e-06,6.54626e-06)
(0,0)
(4.85327e-05,-1.68641e-05)
(0,0)
(-9.65328e-06,-3.40731e-05)
(9.08903e-07,4.41037e-06)
(0,0)
(2.7967e-05,-2.97242e-05)
(0,0)
(5.27276e-06,-2.67345e-05)
(-1.55547e-06,2.448e-06)
(0,0)
(5.72851e-06,-4.13031e-05)
(0,0)
(-1.18347e-05,-3.69568e-05)
(5.61504e-07,4.06672e-06)
(0,0)
(1.02489e-05,-2.73098e-05)
(0,0)
(-2.8115e-05,-4.75126e-05)
(2.7012e-06,5.83917e-06)
(0,0)
(1.47242e-05,-1.55897e-05)
(0,0)
(-2.52137e-05,-3.61408e-05)
(-5.47034e-07,3.4307e-06)
(0,0)
(1.64024e-05,-3.2563e-05)
(0,0)
(-2.15758e-05,-2.49818e-05)
(-3.63921e-06,8.08936e-07)
(0,0)
(1.71881e-05,-5.06802e-05)
(0,0)
(-2.03582e-05,-1.49684e-05)
(6.15171e-08,3.366e-06)
(0,0)
(2.51874e-05,-3.01823e-05)
(0,0)
(-1.86117e-05,-5.22141e-06)
(3.79741e-06,5.97547e-06)
(0,0)
(3.20736e-05,-9.82462e-06)
(0,0)
(-2.49407e-05,7.04104e-06)
(5.21835e-06,6.64004e-07)
(0,0)
(2.58598e-05,-2.13291e-05)
(0,0)
(-3.05851e-05,1.91283e-05)
(6.34289e-06,-5.05813e-06)
(0,0)
(1.79621e-05,-3.37491e-05)
(0,0)
(-1.82668e-05,1.20851e-05)
(3.02776e-06,-2.45084e-06)
(0,0)
(-4.84377e-05,-2.91295e-05)
(0,0)
(-5.16132e-06,5.74631e-06)
(0,0)
(0,0)
(-0.000103726,-1.97568e-05)
(0,0)
(-0.00131278,-0.00153979)
(-0.000377399,0.000217852)
(0,0)
(0.000226147,0.000127141)
(0,0)
(-0.000413837,-0.00105243)
(-0.000254184,0.000110837)
(0,0)
(0.00019241,0.000192935)
(0,0)
(0.000448436,-0.000561422)
(-0.000143202,6.7475e-07)
(0,0)
(6.89078e-05,0.000284094)
(0,0)
(-1.55555e-05,-0.000602264)
(-2.39375e-05,5.07026e-06)
(0,0)
(0.000315116,0.000136471)
(0,0)
(-0.000471079,-0.000692363)
(0.000107947,2.32201e-05)
(0,0)
(0.000568507,4.76463e-05)
(0,0)
(-0.000341288,-0.000524984)
(5.76038e-05,9.27898e-05)
(0,0)
(0.000419474,-0.000450939)
(0,0)
(-0.000194172,-0.000376335)
(-5.21615e-06,0.00019016)
(0,0)
(0.000344378,-0.00108564)
(0,0)
(-0.000281523,-0.000443741)
(-3.00835e-06,7.78279e-05)
(0,0)
(-0.000507951,-0.000733927)
(0,0)
(-0.000355844,-0.000490821)
(2.25086e-05,-5.8204e-05)
(0,0)
(-0.00150703,-0.000378155)
(0,0)
(-0.000419392,-0.000288129)
(2.20076e-05,3.95299e-05)
(0,0)
(-0.000667589,-0.000325292)
(0,0)
(-0.000495797,-9.82967e-05)
(4.83046e-06,0.000123839)
(0,0)
(0.000183713,-0.000322896)
(0,0)
(-0.000412285,-0.00019465)
(6.56961e-05,2.17527e-05)
(0,0)
(-0.000201761,-0.000437675)
(0,0)
(-0.000344405,-0.000273104)
(0.000114857,-6.59239e-05)
(0,0)
(-0.000556569,-0.000630068)
(0,0)
(-0.000361678,-5.91423e-05)
(3.13663e-05,-3.13236e-05)
(0,0)
(0.00016981,-0.00101913)
(0,0)
(-0.000350251,0.000147958)
(-2.50499e-05,1.24079e-05)
(0,0)
(0.000949583,-0.00132556)
(0,0)
(-0.000337245,0.000111874)
(-1.34849e-05,-1.08007e-05)
(0,0)
(-0.000504671,-0.00101863)
(0,0)
(-0.000368127,0.000147975)
(0,0)
(0,0)
(-0.00161804,-0.000657016)
(0,0)
(-0.00385203,-0.00214689)
(-0.000924598,0.000304179)
(0,0)
(0.000425577,0.000247755)
(0,0)
(-0.00254567,-0.00330954)
(-0.000629644,0.000116718)
(0,0)
(0.000361975,0.000376049)
(0,0)
(-0.0013137,-0.00446367)
(-0.000358946,-7.70977e-05)
(0,0)
(0.000119946,0.000553366)
(0,0)
(-0.00176327,-0.00349781)
(-6.41203e-05,-6.31005e-05)
(0,0)
(0.000591737,0.000273112)
(0,0)
(-0.00219621,-0.00263033)
(0.000257227,-2.19358e-05)
(0,0)
(0.00107915,0.000110191)
(0,0)
(-0.00223706,-0.00234502)
(0.000178977,0.000121952)
(0,0)
(0.000797798,-0.000873379)
(0,0)
(-0.00224341,-0.00209744)
(7.62491e-05,0.000321267)
(0,0)
(0.000665996,-0.00213046)
(0,0)
(-0.00226118,-0.00187135)
(1.13657e-05,0.000117716)
(0,0)
(-0.000982652,-0.00143546)
(0,0)
(-0.00225371,-0.00160427)
(-6.922e-06,-0.000133388)
(0,0)
(-0.00292476,-0.000730072)
(0,0)
(-0.00202026,-0.00112539)
(2.17968e-05,6.03954e-05)
(0,0)
(-0.00151649,-0.000883361)
(0,0)
(-0.00181325,-0.00067201)
(1.70075e-05,0.000227544)
