6
5 1 17 17 17 1 
(-0.0136514,0.0198691)
(-0.0172398,-0.00194153)
(0,0)
(0.000174162,0.0071758)
(0,0)
(0.000759079,0.0010391)
(-0.0468384,0.00797436)
(0,0)
(-0.00176067,0.00663494)
(0,0)
(0.0151695,-0.0177909)
(-0.0764371,0.0178902)
(0,0)
(-0.0036955,0.00609409)
(0,0)
(0.024464,0.00175152)
(-0.0386095,-0.00302356)
(0,0)
(-0.00127447,0.00390555)
(0,0)
(0.0337585,0.0212939)
(-0.000781925,-0.0239374)
(0,0)
(0.00114657,0.001717)
(0,0)
(0.0104549,-0.00851254)
(-0.0201308,0.00564672)
(0,0)
(-0.0047681,0.00194865)
(0,0)
(-0.0128487,-0.038319)
(-0.0394797,0.0352308)
(0,0)
(-0.0106828,0.00218029)
(0,0)
(-0.0301219,-0.0321813)
(-0.0224067,0.0330045)
(0,0)
(-0.00677468,0.0128175)
(0,0)
(-0.0473951,-0.0260437)
(-0.00533366,0.0307783)
(0,0)
(-0.0028666,0.0234547)
(0,0)
(-0.0389672,-0.00170296)
(0.00851413,0.021197)
(0,0)
(0.00980184,0.0116217)
(0,0)
(-0.0305393,0.0226378)
(0.0223619,0.0116158)
(0,0)
(0.0224703,-0.000211254)
(0,0)
(0.0119456,0.00882716)
(0.0097306,0.00387432)
(0,0)
(0.00569122,-0.00734462)
(0,0)
(0.0544304,-0.00498346)
(-0.00290074,-0.00386718)
(0,0)
(-0.0110878,-0.014478)
(0,0)
(0.0132582,0.0145252)
(0.00377542,0.00402312)
(0,0)
(0.00930179,-0.013563)
(0,0)
(-0.0279141,0.0340339)
(0.0104516,0.0119134)
(0,0)
(0.0296914,-0.012648)
(0,0)
(-0.0102228,0.0443454)
(0.00513871,0.00236881)
(0,0)
(0.0122406,-0.0173802)
(0,0)
(0.00746848,0.0546569)
(-0.000174162,-0.0071758)
(0,0)
(-0.00521022,-0.0221124)
(0,0)
(0.166373,-0.405352)
(-0.00581857,0.23659)
(0,0)
(0.00158154,-0.00128356)
(0,0)
(-0.405635,-0.623208)
(0.0193787,0.0309005)
(0,0)
(0.0030519,-0.00270403)
(0,0)
(-0.977644,-0.841064)
(0.0445759,-0.17479)
(0,0)
(0.00452226,-0.00412451)
(0,0)
(-0.49313,-1.22482)
(0.0219088,-0.015096)
(0,0)
(-0.000647064,-0.00913885)
(0,0)
(-0.00861552,-1.60857)
(-0.000758208,0.144598)
(0,0)
(-0.00581639,-0.0141532)
(0,0)
(0.81576,-0.073935)
(-0.0161574,0.0437797)
(0,0)
(-0.0220536,-0.00517729)
(0,0)
(1.64013,1.4607)
(-0.0315565,-0.0570382)
(0,0)
(-0.0382909,0.00379861)
(0,0)
(0.627999,1.7233)
(-0.0146551,0.00354259)
(0,0)
(-0.0294662,0.0221054)
(0,0)
(-0.384138,1.9859)
(0.00224629,0.0641234)
(0,0)
(-0.0206414,0.0404123)
(0,0)
(-0.676778,-0.0555723)
(0.0150369,0.027565)
(0,0)
(-0.0645352,0.0162404)
(0,0)
(-0.969418,-2.09704)
(0.0278274,-0.00899329)
(0,0)
(-0.108429,-0.00793146)
(0,0)
(-0.0796343,-1.41198)
(0.00876939,-0.00462254)
(0,0)
(-0.198716,0.059428)
(0,0)
(0.81015,-0.72691)
(-0.0102886,-0.000251781)
(0,0)
(-0.289003,0.126788)
(0,0)
(0.568382,0.0424993)
(0.000760177,0.00514253)
(0,0)
(-0.379146,0.150496)
(0,0)
(0.326613,0.811909)
(0.011809,0.0105368)
(0,0)
(-0.469289,0.174205)
(0,0)
(0.0899809,0.312452)
(0.00511373,0.0059102)
(0,0)
(-0.573638,0.212426)
(0,0)
(-0.146651,-0.187005)
(-0.00158154,0.00128356)
(0,0)
(-0.677987,0.250648)
(0,0)
(0.41228,-0.616162)
(-0.0483375,0.398929)
(0,0)
(0.00298832,-0.00974257)
(0,0)
(-0.614784,-1.05685)
(0.0642238,0.0191021)
(0,0)
(0.00786377,-0.0120451)
(0,0)
(-1.64185,-1.49753)
(0.176785,-0.360724)
(0,0)
(0.0127392,-0.0143476)
(0,0)
(-0.9554,-2.06869)
(0.0893622,-0.0224024)
(0,0)
(-2.21292e-05,-0.0221981)
(0,0)
(-0.268951,-2.63984)
(0.00193933,0.31592)
(0,0)
(-0.0127835,-0.0300486)
(0,0)
(1.12755,-0.0372182)
(-0.0112116,0.0828106)
(0,0)
(-0.0395193,-0.0123779)
(0,0)
(2.52405,2.56541)
(-0.0243626,-0.150299)
(0,0)
(-0.0662552,0.00529286)
(0,0)
(1.06319,2.9086)
(-0.00727965,-0.0263587)
(0,0)
(-0.0537371,0.033304)
(0,0)
(-0.397663,3.25179)
(0.00980326,0.0975813)
(0,0)
(-0.0412191,0.0613152)
(0,0)
(-0.913803,-0.202673)
(0.0215519,0.0339895)
(0,0)
(-0.131173,0.0365516)
(0,0)
(-1.42994,-3.65714)
(0.0333006,-0.0296022)
(0,0)
(-0.221127,0.011788)
(0,0)
(-0.106435,-2.47741)
(0.0078116,-0.0131192)
(0,0)
(-0.362021,0.143253)
(0,0)
(1.21707,-1.29768)
(-0.0176774,0.0033638)
(0,0)
(-0.502915,0.274717)
(0,0)
(0.806348,0.0796502)
(-0.00225564,0.00626197)
(0,0)
(-0.733477,0.280283)
(0,0)
(0.395623,1.45698)
(0.0131661,0.00916014)
(0,0)
(-0.964039,0.28585)
(0,0)
(0.0743958,0.552255)
(0.00508889,0.00945136)
(0,0)
(-1.19034,0.297423)
(0,0)
(-0.246831,-0.352472)
(-0.00298832,0.00974257)
(0,0)
(-1.41665,0.308996)
(0,0)
(0.823485,0.312533)
(-0.0968285,-0.199565)
(0,0)
(0.000845902,-0.00597451)
(0,0)
(2.17141,-0.344242)
(0.0523638,-0.131667)
(0,0)
(0.00119078,-0.0095082)
(0,0)
(3.51934,-1.00102)
(0.201556,-0.0637683)
(0,0)
(0.00153567,-0.0130419)
(0,0)
(3.10075,1.13218)
(0.0622096,0.0561792)
(0,0)
(-0.00768129,-0.0176706)
(0,0)
(2.68216,3.26537)
(-0.0771368,0.176127)
(0,0)
(-0.0168983,-0.0222994)
(0,0)
(-1.65206,2.74343)
(-0.0389805,0.0411098)
(0,0)
(-0.034783,-0.00657471)
(0,0)
(-5.98628,2.22149)
(-0.000824223,-0.0939071)
(0,0)
(-0.0526677,0.00914994)
(0,0)
(-3.93359,-0.140764)
(0.00317657,-0.014917)
(0,0)
(-0.0507863,0.0198724)
(0,0)
(-1.8809,-2.50302)
(0.00717737,0.0640731)
(0,0)
(-0.048905,0.0305948)
(0,0)
(1.41695,-2.38714)
(0.0121995,0.0199935)
(0,0)
(-0.145866,-0.0072898)
(0,0)
(4.71481,-2.27125)
(0.0172217,-0.0240861)
(0,0)
(-0.242826,-0.0451744)
(0,0)
(2.85399,-0.856562)
(0.00421268,-0.0106345)
(0,0)
(-0.430252,-0.109507)
(0,0)
(0.993176,0.558131)
(-0.00879632,0.00281704)
(0,0)
(-0.617677,-0.173839)
(0,0)
(-0.571564,0.59512)
(-0.000938876,0.00411253)
(0,0)
(-0.731717,-0.723687)
(0,0)
(-2.1363,0.632109)
(0.00691856,0.00540802)
(0,0)
(-0.845758,-1.27353)
(0,0)
(-1.10477,0.339427)
(0.00303633,0.00569127)
(0,0)
(-0.608942,-1.52281)
(0,0)
(-0.0732292,0.0467451)
(-0.000845902,0.00597451)
(0,0)
(-0.372127,-1.77209)
(0,0)
(0.275587,1.12819)
(0.0717578,-0.913029)
(0,0)
(-0.00129564,-0.00220596)
(0,0)
(4.03398,0.0644742)
(0.119699,-0.352523)
(0,0)
(-0.00547717,-0.00696686)
(0,0)
(7.79236,-0.999245)
(0.16764,0.207984)
(0,0)
(-0.0096587,-0.0117278)
(0,0)
(7.49697,2.59368)
(0.00655089,0.123726)
(0,0)
(-0.0153078,-0.0131189)
(0,0)
(7.20158,6.1866)
(-0.154539,0.0394671)
(0,0)
(-0.0209569,-0.0145101)
(0,0)
(-1.86362,4.02397)
(-0.0651082,0.00141452)
(0,0)
(-0.0298448,-0.000713199)
(0,0)
(-10.9288,1.86134)
(0.0243223,-0.036638)
(0,0)
(-0.0387327,0.0130837)
(0,0)
(-8.16895,-1.63376)
(0.0143826,-0.00312809)
(0,0)
(-0.0461829,0.00533115)
(0,0)
(-5.40908,-5.12885)
