6
5 1 17 17 17 1 
(0.0440889,-0.0313904)
(-0.00213462,0.0381229)
(0,0)
(0.00634059,0.00262223)
(0,0)
(0.0770047,0.0510595)
(0.0104337,0.0236407)
(0,0)
(0.00586455,0.00614246)
(0,0)
(0.10992,0.133509)
(0.0230019,0.00915855)
(0,0)
(0.00538851,0.00966269)
(0,0)
(-0.0768584,0.0605171)
(0.00237298,0.00745114)
(0,0)
(0.007348,0.00699347)
(0,0)
(-0.263637,-0.0124752)
(-0.018256,0.00574372)
(0,0)
(0.0093075,0.00432425)
(0,0)
(-0.150274,-0.207877)
(-0.00737882,-0.00831029)
(0,0)
(0.0108329,0.00459906)
(0,0)
(-0.0369104,-0.40328)
(0.00349832,-0.0223643)
(0,0)
(0.0123582,0.00487387)
(0,0)
(0.12609,-0.119931)
(0.0018475,-0.0073812)
(0,0)
(0.0158013,0.00124042)
(0,0)
(0.28909,0.163418)
(0.000196685,0.00760191)
(0,0)
(0.0192444,-0.00239303)
(0,0)
(0.165539,0.234978)
(0.00103467,-0.000756342)
(0,0)
(0.0150658,-0.00365256)
(0,0)
(0.0419882,0.306537)
(0.00187265,-0.0091146)
(0,0)
(0.0108872,-0.00491208)
(0,0)
(-0.0657987,0.136044)
(0.00186349,-0.00316192)
(0,0)
(-0.00315349,-0.000201455)
(0,0)
(-0.173586,-0.0344488)
(0.00185433,0.00279075)
(0,0)
(-0.0171941,0.00450917)
(0,0)
(-0.14529,-0.031084)
(0.00265452,-0.00402888)
(0,0)
(-0.018796,-0.00817152)
(0,0)
(-0.116994,-0.0277192)
(0.00345472,-0.0108485)
(0,0)
(-0.0203979,-0.0208522)
(0,0)
(-0.0502677,-0.0420036)
(-0.00144294,-0.00673536)
(0,0)
(-0.0186684,0.0103216)
(0,0)
(0.0164588,-0.0562881)
(-0.00634059,-0.00262223)
(0,0)
(-0.0169389,0.0414955)
(0,0)
(-0.395914,-4.7015)
(-0.00387581,2.43396)
(0,0)
(0.00723692,0.00793301)
(0,0)
(6.71114,-3.30412)
(-0.249255,1.12485)
(0,0)
(0.00134934,0.016006)
(0,0)
(13.8182,-1.90673)
(-0.494635,-0.184268)
(0,0)
(-0.00453823,0.0240789)
(0,0)
(9.42771,11.4501)
(-0.216778,-0.146468)
(0,0)
(-0.00482787,0.0198872)
(0,0)
(5.03721,24.8069)
(0.0610792,-0.108668)
(0,0)
(-0.00511751,0.0156954)
(0,0)
(-11.1379,14.675)
(0.0424167,-0.0490836)
(0,0)
(-0.00483917,0.0176529)
(0,0)
(-27.3129,4.54318)
(0.0237541,0.0105006)
(0,0)
(-0.00456084,0.0196104)
(0,0)
(-15.8978,-11.0274)
(0.00304161,0.00788452)
(0,0)
(-0.0243277,0.0128631)
(0,0)
(-4.4826,-26.598)
(-0.0176709,0.00526846)
(0,0)
(-0.0440945,0.00611575)
(0,0)
(9.27139,-14.5886)
(-0.00676906,-0.00268847)
(0,0)
(-0.0568347,-0.0177392)
(0,0)
(23.0254,-2.57907)
(0.00413279,-0.0106454)
(0,0)
(-0.069575,-0.0415941)
(0,0)
(12.4781,7.45251)
(0.000895604,-0.00313345)
(0,0)
(0.0225052,-0.183049)
(0,0)
(1.93077,17.4841)
(-0.00234158,0.00437851)
(0,0)
(0.114585,-0.324503)
(0,0)
(-3.10113,8.67547)
(-0.000282233,-0.00304728)
(0,0)
(0.821381,-0.298943)
(0,0)
(-8.13303,-0.133142)
(0.00177711,-0.0104731)
(0,0)
(1.52818,-0.273382)
(0,0)
(-3.37392,-1.03725)
(-0.0027299,-0.00920304)
(0,0)
(2.33238,1.73379)
(0,0)
(1.38518,-1.94136)
(-0.00723692,-0.00793301)
(0,0)
(3.13658,3.74096)
(0,0)
(-0.974294,-9.14837)
(-0.0771237,4.61111)
(0,0)
(0.00812466,0.0132379)
(0,0)
(12.0114,-6.30549)
(-0.538013,2.11925)
(0,0)
(-0.00315054,0.0258083)
(0,0)
(24.9972,-3.46261)
(-0.998903,-0.372616)
(0,0)
(-0.0144257,0.0383786)
(0,0)
(17.0409,20.2904)
(-0.429302,-0.297648)
(0,0)
(-0.0168818,0.0326256)
(0,0)
(9.0846,44.0435)
(0.1403,-0.22268)
(0,0)
(-0.019338,0.0268725)
(0,0)
(-19.351,26.1759)
(0.0922723,-0.0894871)
(0,0)
(-0.0204324,0.0302971)
(0,0)
(-47.7865,8.30839)
(0.0442448,0.0437061)
(0,0)
(-0.0215269,0.0337217)
(0,0)
(-27.9475,-20.1018)
(0.00434862,0.023292)
(0,0)
(-0.064484,0.023436)
(0,0)
(-8.10849,-48.512)
(-0.0355475,0.00287793)
(0,0)
(-0.107441,0.0131503)
(0,0)
(16.1052,-26.5226)
(-0.014563,-0.0046375)
(0,0)
(-0.13251,-0.0346578)
(0,0)
(40.3189,-4.53315)
(0.0064215,-0.0121529)
(0,0)
(-0.157578,-0.0824659)
(0,0)
(21.8658,13.2868)
(-5.78647e-05,-0.00309798)
(0,0)
(0.0313428,-0.367092)
(0,0)
(3.41263,31.1068)
(-0.00653722,0.00595696)
(0,0)
(0.220264,-0.651719)
(0,0)
(-5.67361,15.3497)
(-0.0032188,-0.0020691)
(0,0)
(1.62556,-0.570678)
(0,0)
(-14.7599,-0.407427)
(9.96151e-05,-0.0100952)
(0,0)
(3.03085,-0.489636)
(0,0)
(-5.96722,-2.00759)
(-0.00401252,-0.0116666)
(0,0)
(4.72967,3.36378)
(0,0)
(2.82541,-3.60774)
(-0.00812466,-0.0132379)
(0,0)
(6.42848,7.21719)
(0,0)
(-1.21668,-5.89272)
(0.15446,2.74927)
(0,0)
(0.00580655,0.00923731)
(0,0)
(5.4845,-3.91741)
(-0.289001,1.24451)
(0,0)
(-0.000657686,0.017336)
(0,0)
(12.1857,-1.94209)
(-0.732462,-0.260242)
(0,0)
(-0.00712193,0.0254346)
(0,0)
(8.755,11.4881)
(-0.317465,-0.194234)
(0,0)
(-0.00812684,0.0211722)
(0,0)
(5.3243,24.9184)
(0.097532,-0.128225)
(0,0)
(-0.00913176,0.0169098)
(0,0)
(-8.08606,16.9266)
(0.0642576,-0.04932)
(0,0)
(-0.00850203,0.0162316)
(0,0)
(-21.4964,8.93478)
(0.0309831,0.0295849)
