6
5 1 17 17 17 1 
(-0.00379175,-0.031326)
(0.0222551,0.0116186)
(0,0)
(-0.00284008,-0.00289389)
(0,0)
(-0.00767488,-0.00361663)
(0.0354375,-0.00843478)
(0,0)
(-0.00107697,-0.00419808)
(0,0)
(-0.011558,0.0240928)
(0.0486199,-0.0284881)
(0,0)
(0.000686134,-0.00550227)
(0,0)
(-0.0174982,0.0267978)
(0.0312856,0.00602567)
(0,0)
(0.000318315,-0.00263375)
(0,0)
(-0.0234383,0.0295029)
(0.0139513,0.0405394)
(0,0)
(-4.95039e-05,0.000234772)
(0,0)
(-0.0134628,0.0210787)
(0.0105644,0.00687138)
(0,0)
(0.00395124,-0.00395479)
(0,0)
(-0.00348721,0.0126545)
(0.00717757,-0.0267967)
(0,0)
(0.00795198,-0.00814434)
(0,0)
(0.0234617,-0.00398522)
(-0.00448523,-0.0233865)
(0,0)
(0.000409224,-0.0128671)
(0,0)
(0.0504107,-0.0206249)
(-0.016148,-0.0199763)
(0,0)
(-0.00713353,-0.0175898)
(0,0)
(0.0568019,-0.01581)
(-0.0207689,-0.00415947)
(0,0)
(-0.0125411,-0.00509839)
(0,0)
(0.0631931,-0.0109951)
(-0.0253897,0.0116573)
(0,0)
(-0.0179486,0.00739305)
(0,0)
(0.0222331,0.0149043)
(-0.0104787,0.00693272)
(0,0)
(0.00126865,0.0139646)
(0,0)
(-0.0187268,0.0408037)
(0.00443242,0.00220812)
(0,0)
(0.0204859,0.0205362)
(0,0)
(-0.00551818,-0.0183787)
(-0.006515,0.00220884)
(0,0)
(0.00871883,0.0229062)
(0,0)
(0.0076905,-0.0775611)
(-0.0174624,0.00220956)
(0,0)
(-0.00304824,0.0252761)
(0,0)
(-0.0110166,-0.0719182)
(-0.00731117,0.00255173)
(0,0)
(0.00719744,0.0183665)
(0,0)
(-0.0297236,-0.0662754)
(0.00284008,0.00289389)
(0,0)
(0.0174431,0.011457)
(0,0)
(-0.933659,-0.993562)
(0.147634,0.570382)
(0,0)
(0.00152729,-0.00853518)
(0,0)
(-0.380738,-1.00677)
(0.0261292,0.146973)
(0,0)
(0.00484391,-0.00991526)
(0,0)
(0.172183,-1.01997)
(-0.0953755,-0.276437)
(0,0)
(0.00816054,-0.0112953)
(0,0)
(0.980079,0.3842)
(0.0250884,-0.0585058)
(0,0)
(-0.000429104,-0.0184109)
(0,0)
(1.78797,1.78837)
(0.145552,0.159425)
(0,0)
(-0.00901875,-0.0255265)
(0,0)
(0.271399,2.25503)
(0.0224215,0.0297784)
(0,0)
(-0.0349392,-0.019849)
(0,0)
(-1.24518,2.7217)
(-0.100709,-0.0998681)
(0,0)
(-0.0608597,-0.0141715)
(0,0)
(-1.33868,0.132814)
(-0.0379818,-0.0121376)
(0,0)
(-0.0842356,0.0405985)
(0,0)
(-1.43219,-2.45607)
(0.0247457,0.0755928)
(0,0)
(-0.107611,0.0953685)
(0,0)
(0.381139,-2.13916)
(0.0166712,0.0266717)
(0,0)
(-0.0985394,0.193238)
(0,0)
(2.19447,-1.82225)
(0.0085968,-0.0222494)
(0,0)
(-0.0894672,0.291107)
(0,0)
(1.39398,0.303767)
(-0.00265409,-0.0115287)
(0,0)
(0.0118551,0.387008)
(0,0)
(0.5935,2.42978)
(-0.013905,-0.000808015)
(0,0)
(0.113178,0.482909)
(0,0)
(-0.0147587,1.24074)
(-0.00946242,0.00639959)
(0,0)
(0.175714,0.581657)
(0,0)
(-0.623018,0.0517025)
(-0.00501987,0.0136072)
(0,0)
(0.238251,0.680405)
(0,0)
(-0.325485,-0.184886)
(-0.00327358,0.0110712)
(0,0)
(0.486298,0.986057)
(0,0)
(-0.0279524,-0.421475)
(-0.00152729,0.00853518)
(0,0)
(0.734345,1.29171)
(0,0)
(-1.5198,-1.74982)
(0.156973,1.02166)
(0,0)
(0.00589527,-0.0141769)
(0,0)
(-0.636117,-1.71643)
(-0.0208472,0.245552)
(0,0)
(0.0107698,-0.0156392)
(0,0)
(0.247563,-1.68305)
(-0.198667,-0.530559)
(0,0)
(0.0156443,-0.0171015)
(0,0)
(1.48858,0.820691)
(0.0383754,-0.125944)
(0,0)
(-0.00118561,-0.0342376)
(0,0)
(2.7296,3.32443)
(0.275418,0.278671)
(0,0)
(-0.0180155,-0.0513737)
(0,0)
(0.297459,3.86188)
(0.0325244,0.0530052)
(0,0)
(-0.0742152,-0.0356857)
(0,0)
(-2.13468,4.39933)
(-0.210369,-0.17266)
(0,0)
(-0.130415,-0.0199976)
(0,0)
(-2.11701,-0.133767)
(-0.0723229,-0.000638542)
(0,0)
(-0.168134,0.0973368)
(0,0)
(-2.09935,-4.66686)
(0.0657235,0.171383)
(0,0)
(-0.205854,0.214671)
(0,0)
(0.799384,-3.78771)
(0.054164,0.0576149)
(0,0)
(-0.165927,0.386836)
(0,0)
(3.69812,-2.90857)
(0.0426045,-0.0561533)
(0,0)
(-0.126001,0.559002)
(0,0)
(2.29809,0.670695)
(0.00518132,-0.0299904)
(0,0)
(0.0118035,0.710239)
(0,0)
(0.898053,4.24996)
(-0.0322418,-0.00382757)
(0,0)
(0.149608,0.861477)
(0,0)
(-0.165056,2.11189)
(-0.0124097,0.0105885)
(0,0)
(0.182516,1.06272)
(0,0)
(-1.22817,-0.0261808)
(0.00742252,0.0250047)
(0,0)
(0.215424,1.26396)
(0,0)
(-0.569154,-0.347685)
(0.000763623,0.0195908)
(0,0)
(0.661471,1.81497)
(0,0)
(0.0898585,-0.66919)
(-0.00589527,0.0141769)
(0,0)
(1.10752,2.36598)
(0,0)
(1.53711,-1.11309)
(-0.209979,0.415851)
(0,0)
(0.00197558,-0.010284)
(0,0)
(2.86218,0.132367)
(-0.0680764,0.071058)
(0,0)
(0.00334601,-0.0153016)
(0,0)
(4.18725,1.37782)
(0.0738259,-0.273735)
(0,0)
(0.00471644,-0.0203192)
(0,0)
(1.28198,4.0338)
(0.0601014,-0.042201)
(0,0)
(-0.00872139,-0.0304426)
(0,0)
(-1.62328,6.68977)
(0.0463769,0.189333)
(0,0)
(-0.0221592,-0.0405661)
(0,0)
(-4.80969,2.34626)
(-0.0266608,0.034858)
(0,0)
(-0.0624411,-0.0265724)
(0,0)
(-7.9961,-1.99726)
(-0.0996985,-0.119617)
(0,0)
(-0.102723,-0.0125786)
(0,0)
(-3.1138,-4.2257)
(-0.0295619,-0.00350606)
(0,0)
(-0.142593,0.0468782)
(0,0)
(1.76851,-6.45415)
(0.0405747,0.112605)
(0,0)
