6
5 1 17 17 17 1 
(-0.0191411,-0.0383272)
(-0.0469911,-0.0238908)
(0,0)
(-0.00733974,0.00232697)
(0,0)
(-0.048162,-0.0677552)
(-0.0214665,-0.0562209)
(0,0)
(-0.00849395,-0.000905456)
(0,0)
(-0.0771829,-0.0971831)
(0.00405808,-0.088551)
(0,0)
(-0.00964816,-0.00413788)
(0,0)
(0.0146889,-0.0455085)
(0.0259792,-0.0494751)
(0,0)
(-0.00725456,-0.00152703)
(0,0)
(0.106561,0.00616615)
(0.0479003,-0.0103993)
(0,0)
(-0.00486096,0.00108383)
(0,0)
(0.0067683,0.122748)
(0.0163472,-0.00132457)
(0,0)
(-0.00825733,-0.00657218)
(0,0)
(-0.0930241,0.23933)
(-0.0152059,0.00775013)
(0,0)
(-0.0116537,-0.0142282)
(0,0)
(-0.151269,0.0629775)
(-0.0184689,0.00441432)
(0,0)
(-0.0306239,-0.0108253)
(0,0)
(-0.209514,-0.113375)
(-0.0217319,0.00107852)
(0,0)
(-0.0495941,-0.00742244)
(0,0)
(-0.041102,-0.219737)
(-0.00912711,0.0207413)
(0,0)
(-0.0611392,0.0122664)
(0,0)
(0.12731,-0.3261)
(0.00347771,0.0404041)
(0,0)
(-0.0726844,0.0319552)
(0,0)
(0.153684,-0.14343)
(0.0046419,0.016374)
(0,0)
(-0.0559778,0.0141412)
(0,0)
(0.180057,0.0392401)
(0.0058061,-0.00765616)
(0,0)
(-0.0392712,-0.00367281)
(0,0)
(0.0856303,0.0300277)
(-0.00085162,0.00955965)
(0,0)
(-0.0409466,0.00655034)
(0,0)
(-0.00879651,0.0208154)
(-0.00750934,0.0267755)
(0,0)
(-0.0426219,0.0167735)
(0,0)
(0.00439239,0.00290752)
(-8.48001e-05,0.0122242)
(0,0)
(-0.0353965,0.0072236)
(0,0)
(0.0175813,-0.0150004)
(0.00733974,-0.00232697)
(0,0)
(-0.028171,-0.0023263)
(0,0)
(0.425241,3.60736)
(1.02914,-2.37631)
(0,0)
(0.0047718,-0.0218824)
(0,0)
(-3.65151,1.67417)
(0.614397,-0.842263)
(0,0)
(0.00251754,-0.0286499)
(0,0)
(-7.72826,-0.259014)
(0.199653,0.691786)
(0,0)
(0.00026327,-0.0354174)
(0,0)
(-3.60119,-7.48793)
(0.132221,0.319214)
(0,0)
(-0.0353165,-0.0214697)
(0,0)
(0.525878,-14.7168)
(0.0647901,-0.0533576)
(0,0)
(-0.0708963,-0.00752194)
(0,0)
(9.05835,-6.91304)
(-0.0129602,0.142916)
(0,0)
(-0.0419532,0.127938)
(0,0)
(17.5908,0.890758)
(-0.0907105,0.33919)
(0,0)
(-0.0130101,0.263398)
(0,0)
(7.61169,9.26364)
(0.0959907,0.179492)
(0,0)
(0.439182,0.178113)
(0,0)
(-2.36743,17.6365)
(0.282692,0.0197931)
(0,0)
(0.891374,0.092829)
(0,0)
(-9.86077,7.52834)
(0.140346,-0.0326767)
(0,0)
(0.652479,-0.726995)
(0,0)
