6
5 1 17 17 17 1 
(2.84088,1.83477)
(-2.17631,-1.46241)
(0,0)
(0.0109476,0.012622)
(0,0)
(-0.65011,4.37704)
(-0.844928,-1.03389)
(0,0)
(-0.0057814,0.0293131)
(0,0)
(-4.14109,6.91931)
(0.48646,-0.60536)
(0,0)
(-0.0225104,0.046004)
(0,0)
(-7.72244,0.194586)
(0.329828,-0.221006)
(0,0)
(-0.0450413,0.0162107)
(0,0)
(-11.3038,-6.53014)
(0.173197,0.163349)
(0,0)
(-0.0675721,-0.0135827)
(0,0)
(-1.82382,-9.92608)
(0.0552047,0.107674)
(0,0)
(-0.0443033,-0.0230873)
(0,0)
(7.65614,-13.322)
(-0.062788,0.0519999)
(0,0)
(-0.0210345,-0.0325922)
(0,0)
(10.4838,-2.79948)
(-0.035086,0.0110276)
(0,0)
(-0.0210592,-0.0418091)
(0,0)
(13.3114,7.72306)
(-0.00738433,-0.0299447)
(0,0)
(-0.021084,-0.051026)
(0,0)
(3.04928,9.98082)
(0.000459746,-0.00137515)
(0,0)
(0.0371209,-0.0709153)
(0,0)
(-7.21281,12.2386)
(0.00830372,0.0271943)
(0,0)
(0.0953257,-0.0908044)
(0,0)
(-8.35649,3.23191)
(-0.0185694,0.00824185)
(0,0)
(0.191635,0.070797)
(0,0)
(-9.50017,-5.77475)
(-0.0454424,-0.0107107)
(0,0)
(0.287944,0.232399)
(0,0)
(-3.06364,-5.49444)
(-0.0177309,-0.018396)
(0,0)
(-0.21262,0.654747)
(0,0)
(3.37289,-5.21414)
(0.00998051,-0.0260813)
(0,0)
(-0.713186,1.0771)
(0,0)
(2.13019,-2.06905)
(-0.000483174,-0.0193519)
(0,0)
(-3.40829,-0.352104)
(0,0)
(0.887487,1.07604)
(-0.0109476,-0.012622)
(0,0)
(-6.10338,-1.7813)
(0,0)
(1.9122,1.11637)
(-1.42816,-0.893111)
(0,0)
(0.00596103,0.0081524)
(0,0)
(-0.239504,2.76415)
(-0.564083,-0.643215)
(0,0)
(-0.00380547,0.0177766)
(0,0)
(-2.39118,4.41193)
(0.300029,-0.39332)
(0,0)
(-0.0135706,0.0273999)
(0,0)
(-4.70528,0.373069)
(0.206393,-0.145692)
(0,0)
(-0.0266556,0.0119555)
(0,0)
(-7.01939,-3.66579)
(0.112759,0.101937)
(0,0)
(-0.0397392,-0.00349065)
(0,0)
(-1.35329,-5.98603)
(0.0368226,0.0678169)
(0,0)
(-0.0248203,-0.00967592)
(0,0)
(4.3128,-8.30627)
(-0.039115,0.0336994)
(0,0)
(-0.00990224,-0.0158643)
(0,0)
(6.33033,-1.96242)
(-0.0221522,0.00770684)
(0,0)
(-0.0104012,-0.0248793)
(0,0)
(8.34786,4.38143)
(-0.00519321,-0.0182845)
(0,0)
(-0.010904,-0.0338957)
(0,0)
(2.13601,6.00788)
(0.000269172,-0.00153218)
(0,0)
(0.0259289,-0.0459067)
(0,0)
(-4.07585,7.63432)
(0.00572831,0.0152181)
(0,0)
(0.0627586,-0.0579159)
(0,0)
(-4.99517,2.18606)
(-0.0103201,0.00518148)
(0,0)
(0.127296,0.0448277)
(0,0)
(-5.91448,-3.26221)
(-0.0263683,-0.00485808)
(0,0)
(0.191833,0.147574)
(0,0)
(-1.97876,-3.28974)
(-0.0105917,-0.0100818)
(0,0)
(-0.127283,0.439462)
(0,0)
(1.95697,-3.31726)
(0.00518598,-0.0153069)
(0,0)
(-0.446399,0.731351)
(0,0)
(1.28748,-1.32196)
(-0.000361096,-0.0117338)
(0,0)
(-2.20437,-0.14302)
(0,0)
(0.617951,0.673356)
(-0.00596103,-0.0081524)
(0,0)
(-3.96239,-1.01738)
(0,0)
(0.805358,0.352265)
(-0.586818,-0.290712)
(0,0)
(0.000978998,0.00368593)
(0,0)
(0.0852733,1.02584)
(-0.237406,-0.23335)
(0,0)
(-0.00182681,0.00624144)
(0,0)
(-0.63475,1.6994)
(0.112071,-0.175991)
(0,0)
(-0.00462993,0.00879529)
(0,0)
(-1.6115,0.401439)
(0.0820224,-0.0676451)
(0,0)
(-0.00826585,0.00769917)
(0,0)
(-2.58824,-0.896527)
(0.0519767,0.0407027)
(0,0)
(-0.0118989,0.00659968)
(0,0)
(-0.75978,-1.98978)
(0.018277,0.0280657)
(0,0)
(-0.00533174,0.00370746)
(0,0)
(1.06868,-3.08304)
(-0.0154248,0.0154336)
(0,0)
(0.00123364,0.000809139)
(0,0)
(2.09769,-0.988072)
(-0.00922417,0.00440555)
(0,0)
(0.00013609,-0.00800648)
(0,0)
(3.12669,1.10689)
(-0.00303104,-0.00661987)
(0,0)
(-0.00096896,-0.0168249)
