6
5 1 17 17 17 1 
(-0.00322601,-0.00900937)
(0.00232655,0.00680227)
(0,0)
(5.4986e-06,-9.65159e-05)
(0,0)
(0.00900854,-0.00868944)
(0.000130646,0.00366189)
(0,0)
(8.10921e-05,-0.00010364)
(0,0)
(0.0212469,-0.0083699)
(-0.00206132,0.000521189)
(0,0)
(0.000156677,-0.000110907)
(0,0)
(0.0176895,0.0128603)
(-0.00108611,-6.80937e-05)
(0,0)
(0.000127905,-1.6856e-05)
(0,0)
(0.0141322,0.0340904)
(-0.000110731,-0.000657288)
(0,0)
(9.91829e-05,7.70504e-05)
(0,0)
(-0.0128318,0.0253885)
(5.61269e-05,-0.000332755)
(0,0)
(1.20652e-05,8.05253e-05)
(0,0)
(-0.039796,0.0166865)
(0.000222921,-8.05068e-06)
(0,0)
(-7.51023e-05,8.37885e-05)
(0,0)
(-0.0281212,-0.0114741)
(9.06289e-05,2.64979e-05)
(0,0)
(-9.06741e-05,0.000110479)
(0,0)
(-0.0164466,-0.0396346)
(-4.18503e-05,6.10949e-05)
(0,0)
(-0.000106434,0.000137117)
(0,0)
(0.0100243,-0.0272622)
(-6.55531e-06,-6.04543e-06)
(0,0)
(-0.000278634,7.58849e-05)
(0,0)
(0.0364953,-0.0148898)
(2.86425e-05,-7.33505e-05)
(0,0)
(-0.000450941,1.48021e-05)
(0,0)
(0.0238747,0.00683582)
(5.29678e-05,3.98438e-06)
(0,0)
(-0.000368474,-0.000540953)
(0,0)
(0.0112541,0.0285614)
(7.73664e-05,8.11513e-05)
(0,0)
(-0.000285969,-0.00109657)
(0,0)
(-0.0023821,0.0171833)
(-1.89434e-06,6.43464e-05)
(0,0)
(0.00159308,-0.0011757)
(0,0)
(-0.0160189,0.00580513)
(-8.12797e-05,4.74607e-05)
(0,0)
(0.00347158,-0.00125471)
(0,0)
(-0.00808708,0.000990916)
(-4.30171e-05,7.17103e-05)
(0,0)
(0.00706734,0.00662405)
(0,0)
(-0.000153388,-0.00382258)
(-5.4986e-06,9.65159e-05)
(0,0)
(0.0106648,0.0145031)
(0,0)
(-0.00346832,-0.00412788)
(0.00181889,0.00452283)
(0,0)
(-0.000209372,-0.000413869)
(0,0)
(0.00455815,-0.00577514)
(0.000229096,0.00252604)
(0,0)
(-4.64268e-05,-0.000510623)
(0,0)
(0.0126173,-0.00742466)
(-0.00132643,0.00052805)
(0,0)
(0.000117852,-0.000608274)
(0,0)
(0.0109475,0.007057)
(-0.000750403,-2.26295e-05)
(0,0)
(-0.00034896,-0.000536626)
(0,0)
(0.00927882,0.021538)
(-0.000172964,-0.000572146)
(0,0)
(-0.000814326,-0.000466732)
(0,0)
(-0.00699651,0.0161426)
(1.67234e-05,-0.000275982)
(0,0)
(-0.00101273,0.000346428)
(0,0)
(-0.0232739,0.0107467)
(0.000205331,2.26951e-05)
(0,0)
(-0.00121206,0.00115644)
(0,0)
(-0.0172286,-0.0064279)
(4.35949e-06,6.24945e-05)
(0,0)
(-0.000322075,0.00132664)
(0,0)
(-0.0111874,-0.023602)
(-0.000200469,0.000103607)
(0,0)
(0.000564064,0.00149543)
(0,0)
